,NDVI,DATE,PDSI
0,0.15746587734274686,2000-02-18,
1,0.17161792981516388,2000-03-05,
2,0.2198271509163526,2000-03-21,
3,0.2639828944058442,2000-04-06,
4,0.3537889406414428,2000-04-22,
5,0.4104717119132094,2000-05-08,
6,0.5132469048776213,2000-05-24,
7,0.5659696250877299,2000-06-09,
8,0.5745729869386198,2000-06-25,
9,0.5748921747871963,2000-07-11,
10,0.555744659028096,2000-07-27,
11,0.5264133900644559,2000-08-12,
12,0.5259893732245702,2000-08-28,
13,0.5104843782192542,2000-09-13,
14,0.5094443323614946,2000-09-29,
15,0.44849081861069817,2000-10-15,
16,0.33777774712497,2000-10-31,
17,0.24692542279226887,2000-11-16,
18,0.2265352535114591,2000-12-02,
19,0.21035510431538842,2000-12-18,
20,0.20891608749396756,2001-01-01,-1.4231127048074674
21,0.17557966146587875,2001-01-17,
22,0.13395229213703813,2001-02-02,
23,0.16724801507782344,2001-02-18,
24,0.2003602025464205,2001-03-06,
25,0.24508821463443128,2001-03-22,
26,0.21396555795884165,2001-04-07,
27,0.32685519535437996,2001-04-23,
28,0.45264035850859247,2001-05-09,
29,0.514331529728971,2001-05-25,
30,0.44461000066649475,2001-06-10,-2.7944079566168383
31,0.5985268464415181,2001-06-26,
32,0.5804248310421837,2001-07-12,
33,0.5525472805049493,2001-07-28,
34,0.5311020229810128,2001-08-13,
35,0.5195112222782121,2001-08-29,
36,0.5191149313236271,2001-09-14,
37,0.49785826249140763,2001-09-30,
38,0.44900143496604833,2001-10-16,
39,0.48819929591718536,2001-11-01,-2.3557399595442523
40,0.2509498310528315,2001-11-17,
41,0.13827736367758117,2001-12-03,
42,0.17205671905142722,2001-12-19,
43,0.12610765331013357,2002-01-01,-1.7542759857943298
44,0.09071202814700163,2002-01-17,
45,0.15273537285697023,2002-02-02,
46,0.12236829202554927,2002-02-18,
47,0.09057764855964633,2002-03-06,
48,0.1590717956173509,2002-03-22,
49,0.24496450366468753,2002-04-07,
50,0.3004654057568476,2002-04-23,
51,0.3369402404383599,2002-05-09,
52,0.492908038423739,2002-05-25,
53,0.5471781838033842,2002-06-10,-1.568271859169994
54,0.5709277817157,2002-06-26,
55,0.5764540266144091,2002-07-12,
56,0.5648856706378566,2002-07-28,
57,0.5390977744346599,2002-08-13,
58,0.5430689369631884,2002-08-29,
59,0.5241345363778017,2002-09-14,
60,0.5001236771659101,2002-09-30,
61,0.48896596462345504,2002-10-16,
62,0.35818763773345624,2002-11-01,-2.164132771748886
63,0.36437532052140464,2002-11-17,
64,0.332541795734669,2002-12-03,
65,0.15476213433927238,2002-12-19,
66,0.22982455459315093,2003-01-01,-2.9159803528179253
67,0.18309631665180906,2003-01-17,
68,0.19555877613104747,2003-02-02,
69,0.1356255770796732,2003-02-18,
70,0.2125745527697869,2003-03-06,
71,0.17763505956668627,2003-03-22,
72,0.22886971693766855,2003-04-07,
73,0.26475580107886987,2003-04-23,
74,0.3520659215108113,2003-05-09,
75,0.4775531903556019,2003-05-25,
76,0.5399528055815644,2003-06-10,0.4110281601028159
77,0.5603860413916015,2003-06-26,
78,0.5595314702734847,2003-07-12,
79,0.5527093270162508,2003-07-28,
80,0.5403420901464568,2003-08-13,
81,0.5327329279206832,2003-08-29,
82,0.5361773382021282,2003-09-14,
83,0.49020986614630585,2003-09-30,
84,0.5070306353081979,2003-10-16,
85,0.3652194164268301,2003-11-01,-2.1045537820375477
86,0.16327179470195746,2003-11-17,
87,0.14289663839416877,2003-12-03,
88,0.0766108231126077,2003-12-19,
89,0.12946223250920214,2004-01-01,-1.959391543708763
90,0.13965200883621645,2004-01-17,
91,0.13492078675913952,2004-02-02,
92,0.14067682721644786,2004-02-18,
93,0.1946567749451055,2004-03-05,
94,0.24713810033879885,2004-03-21,
95,0.3194099082754652,2004-04-06,
96,0.3793619850731433,2004-04-22,
97,0.415290315722079,2004-05-08,
98,0.5108540770487603,2004-05-24,
99,0.5673376598707911,2004-06-09,
100,0.5775646934089654,2004-06-25,
101,0.5706511936507292,2004-07-11,
102,0.5742893079991579,2004-07-27,
103,0.5675238845087313,2004-08-12,
104,0.5502798332049472,2004-08-28,
105,0.5280259194287398,2004-09-13,
106,0.5062645943648069,2004-09-29,
107,0.42083707650997493,2004-10-15,
108,0.4082358210060946,2004-10-31,
109,0.3651905223439943,2004-11-16,
110,0.28912804852238416,2004-12-02,
111,0.23199462064878834,2004-12-18,
112,0.19093018679230592,2005-01-01,-0.06079811804704879
113,0.2655589959400081,2005-01-17,
114,0.2323081784531786,2005-02-02,
115,0.2686001862140202,2005-02-18,
116,0.2749047855982758,2005-03-06,
117,0.1965526180009006,2005-03-22,
118,0.2732042747418382,2005-04-07,
119,0.35034891354716885,2005-04-23,
120,0.4519683329921615,2005-05-09,
121,0.5048296719155276,2005-05-25,
122,0.5770030037544087,2005-06-10,-0.9190628489474344
123,0.5886568087686326,2005-06-26,
124,0.5901714416720818,2005-07-12,
125,0.584452818509933,2005-07-28,
126,0.5558213457041539,2005-08-13,
127,0.5444578382384548,2005-08-29,
128,0.5192520223091216,2005-09-14,
129,0.4993791287200432,2005-09-30,
130,0.508881442314439,2005-10-16,
131,0.1992842523801941,2005-11-01,-0.7368099177133441
132,0.29392945465659925,2005-11-17,
133,0.16606968194542274,2005-12-03,
134,0.16265855568438234,2005-12-19,
135,0.16236295984653262,2006-01-01,-0.021514250949273516
136,0.13941271410681932,2006-01-17,
137,0.16956350197597056,2006-02-02,
138,0.16442783915978956,2006-02-18,
139,0.15019212871109994,2006-03-06,
