USGS	13309220	1973-08-22	544	A
USGS	13309220	1973-08-23	596	A
USGS	13309220	1973-08-24	555	A
USGS	13309220	1973-08-25	542	A
USGS	13309220	1973-08-26	568	A
USGS	13309220	1973-08-27	551	A
USGS	13309220	1973-08-28	559	A
USGS	13309220	1973-08-29	540	A
USGS	13309220	1973-08-30	519	A
USGS	13309220	1973-08-31	534	A
USGS	13309220	1973-09-01	588	A
USGS	13309220	1973-09-02	576	A
USGS	13309220	1973-09-03	551	A
USGS	13309220	1973-09-04	532	A
USGS	13309220	1973-09-05	517	A
USGS	13309220	1973-09-06	502	A
USGS	13309220	1973-09-07	521	A
USGS	13309220	1973-09-08	632	A
USGS	13309220	1973-09-09	593	A
USGS	13309220	1973-09-10	550	A
USGS	13309220	1973-09-11	530	A
USGS	13309220	1973-09-12	514	A
USGS	13309220	1973-09-13	499	A
USGS	13309220	1973-09-14	498	A
USGS	13309220	1973-09-15	509	A
USGS	13309220	1973-09-16	514	A
USGS	13309220	1973-09-17	507	A
USGS	13309220	1973-09-18	499	A
USGS	13309220	1973-09-19	509	A
USGS	13309220	1973-09-20	718	A
USGS	13309220	1973-09-21	799	A
USGS	13309220	1973-09-22	673	A
USGS	13309220	1973-09-23	609	A
USGS	13309220	1973-09-24	666	A
USGS	13309220	1973-09-25	753	A
USGS	13309220	1973-09-26	715	A
USGS	13309220	1973-09-27	650	A
USGS	13309220	1973-09-28	607	A
USGS	13309220	1973-09-29	582	A
USGS	13309220	1973-09-30	563	A
USGS	13309220	1973-10-01	548	A
USGS	13309220	1973-10-02	538	A
USGS	13309220	1973-10-03	528	A
USGS	13309220	1973-10-04	522	A
USGS	13309220	1973-10-05	514	A
USGS	13309220	1973-10-06	515	A
USGS	13309220	1973-10-07	558	A
USGS	13309220	1973-10-08	611	A
USGS	13309220	1973-10-09	581	A
USGS	13309220	1973-10-10	556	A
USGS	13309220	1973-10-11	539	A
USGS	13309220	1973-10-12	539	A
USGS	13309220	1973-10-13	541	A
USGS	13309220	1973-10-14	551	A
USGS	13309220	1973-10-15	549	A
USGS	13309220	1973-10-16	532	A
USGS	13309220	1973-10-17	521	A
USGS	13309220	1973-10-18	512	A
USGS	13309220	1973-10-19	505	A
USGS	13309220	1973-10-20	498	A
USGS	13309220	1973-10-21	509	A
USGS	13309220	1973-10-22	514	A
USGS	13309220	1973-10-23	512	A
USGS	13309220	1973-10-24	534	A
USGS	13309220	1973-10-25	575	A
USGS	13309220	1973-10-26	562	A
USGS	13309220	1973-10-27	534	A
USGS	13309220	1973-10-28	526	A
USGS	13309220	1973-10-29	546	A
USGS	13309220	1973-10-30	539	A
USGS	13309220	1973-10-31	562	A
USGS	13309220	1973-11-01	973	A
USGS	13309220	1973-11-02	805	A
USGS	13309220	1973-11-03	603	A
USGS	13309220	1973-11-04	583	A
USGS	13309220	1973-11-05	607	A
USGS	13309220	1973-11-06	664	A
USGS	13309220	1973-11-07	665	A
